Product Name,UNSPSC,ProductId,Price Varies with SKU,,Note the productId field? I think if you change that we might get it..
PIL117,47131908        ,158634,0,,
PIL118,47131908        ,158636,0,,
PIL119,47131908        ,158638,0,,
PLS1568,46182400        ,158640,0,,
PLS1569,46182400        ,158642,0,,
PLS1570,46182400        ,158644,0,,
TLS800,55121700        ,158646,0,,
TLS801,55121700        ,158648,0,,
TLS802,55121700        ,158650,0,,
TLS803,55121700        ,158652,0,,
WIP13964,47131502        ,158654,0,,
WIP701,47131502        ,158656,0,,
DRM1033,24112112        ,125597,0,,
DRM1034,24112112        ,125601,0,,
DRM1066,24112112        ,156224,0,,
MAT3250,47131901        ,157712,0,,
WIP115,47131502        ,149564,0,,
WIP483,47131502        ,150010,0,,
WIP700,47131502        ,150218,0,,
DRM990,24110000        ,127442,0,,
WIP375,47131502        ,149876,0,,
PTY246,22101714        ,145368,0,,
WIP171,47131502        ,149606,0,,
DRM244,40141700        ,125872,0,,
DRM244-01,40141700        ,125874,0,,
DRM812,47121700        ,127028,0,,
DRM834,24110000        ,127080,1,,
DRM903,40151500        ,127260,0,,
DRM969,24110000        ,127389,1,,
GEN450,46182400        ,133206,0,,
KIT467,47131905        ,137024,0,,
MAT270,47131901        ,137753,0,,
WIP501,47131502        ,150022,0,,
WIP503,47131502        ,150026,0,,
WIP505,47131502        ,150030,0,,
WIP506,47131502        ,150032,0,,
WIP507,47131502        ,150034,0,,
WIP508,47131502        ,150036,0,,
WIP509,47131502        ,150038,0,,
WIP514,47131502        ,150048,0,,
WIP519,47131502        ,152875,0,,
WIP520,47131502        ,152891,0,,
WIP521,47131502        ,152877,0,,
WIP522,47131502        ,152879,0,,
WIP523,47131502        ,152881,0,,
WIP524,47131502        ,152883,0,,
WIP527,47131502        ,152950,0,,
WIP528,47131502        ,152952,0,,
WIP529,47131502        ,153138,0,,
WIP530,47131502        ,153140,0,,
WIP532,47131502        ,153144,0,,
WIP533,47131502        ,153146,0,,
WIP534,47131502        ,153148,0,,
WIP535,47131502        ,156133,0,,
WIP536,47131502        ,156135,0,,
WIP537,47131502        ,156137,0,,
WIP538,47131502        ,156139,0,,
WIP539,47131502        ,156141,0,,
WIP550,47131502        ,150078,0,,
WIP553,47131502        ,150090,0,,
WIP559,47131502        ,150102,0,,
WIP561,47131502        ,150106,0,,
WIP565,47131502        ,150110,0,,
WIP569,47131502        ,150114,0,,
WIP570,47131502        ,150116,0,,
WIP578,47131502        ,150130,0,,
WIP581,47131502        ,150140,0,,
WIP585,47131502        ,150158,0,,
WIP587,47131502        ,150162,0,,
WIP590,47131502        ,156143,0,,
DRM144,24110000        ,125709,0,,
DRM145,24110000        ,125711,0,,
DRM146,24110000        ,125713,0,,
DRM147,24110000        ,125715,0,,
DRM199,24110000        ,125828,0,,
DRM200,24110000        ,125830,0,,
DRM248,24112112        ,125882,0,,
DRM318,24112112        ,125975,0,,
DRM613,24110000        ,126487,0,,
DRM614,24110000        ,126489,0,,
