Product Name,ProductId,UNSPSC,Category Name,Cust Field 1,Cust Field 2,Cust Field 3,Cust Field 4,Cust Field 5,Configurable Product
NOD32 ANTIVIRUS 4 BUSINESS EDITION 100-249 USER WIN NEW LICENSE 1YR             ,2609581,4323320500,Transaction security and virus protection software                              ,NONE  ,,,ESET                                    ,1,No
NOD32 ANTIVIRUS 4 BUSINESS EDITION 25-49U LICENSE & MAINT RENEWAL 2 YEAR        ,2618508,4323320500,Transaction security and virus protection software                              ,NONE  ,,,ESET                                    ,1,No
NOD32 ANTIVIRUS 4BUSINESS ED RNWL 1YR ESET REMOTE ADMIN 5-10U PRICE PER U MIN5  ,2615672,4323320500,Transaction security and virus protection software                              ,NONE  ,,,ESET                                    ,1,No
NOD32 ANTIVIRUS BUSINESS ED REMOTE ADMIN 2YR RNWL 50-99U PER USER               ,2617497,4323320500,Transaction security and virus protection software                              ,NONE  ,,,ESET                                    ,1,No
NOD32 ANTIVIRUS BUSINESS EDITION REMOTE ADMIN 1YR RENEWAL 500-999U              ,2546517,4323320500,Transaction security and virus protection software                              ,NONE  ,,,ESET                                    ,1,No
NOD32 AV 4 BUSINESS ED 250-499 USERS NEW LICENSE 1YR                            ,2655718,4323230400,Data base management system software                                            ,NONE  ,,,ESET                                    ,1,No
NOD32 FILE SECURITY F/MS WIN 11-24 USER LICENSE 1 YEAR                          ,2634719,4323320300,Network security or virtual private network VPN management software             ,4,,,ESET                                    ,1,No
NOOTER SONICWALL EMAIL SECURITY SOFTWARE 750 USER 1 SERVER LICENSE              ,2412003,4323320300,Network security or virtual private network VPN management software             ,NONE  ,,,SONICWALL                               ,1,No
NOTES MIGRATOR FOR EXCH PER MIGRATED MAILBOX WIN LICENSE/24X7 MAINT             ,2592602,4323230400,Data base management system software                                            ,NONE  ,,,QUEST                                   ,1,No
NOTES MIGRATOR FOR EXCHANGE PER MIGRATED MAILBOX LICENSE                        ,2513985,4323151300,Office suite software                                                           ,NONE  ,,,QUEST                                   ,1,No
NOTES MIGRATOR FOR EXCHANGE PER MIGRATED MAILBOX WIN LICENSE                    ,2529383,4323230400,Data base management system software                                            ,NONE  ,,,QUEST                                   ,1,No
NOTES MIGRATOR FOR SHAREPOINT STD ED INCL FIRST 25 DATABASES LICENSE/MAINT      ,2570654,4323151300,Office suite software                                                           ,NONE  ,,,QUEST                                   ,1,No
NOTES MIGRATOR FOR SHAREPOINT STD ED INCL FIRST 25 DATABASES LICENSE/MAINT      ,2534475,4323151300,Office suite software                                                           ,NONE  ,,,QUEST                                   ,1,No
NOTIFICATION OF SOFTWARE UPDATES PRODUCT FIXES AND RELATED ENHANCEMENTS 24 HRS  ,2607070,4323230400,Data base management system software                                            ,NONE  ,,,"COMMVAULT SYSTEMS, INC.                 ",1,No
NOVA DEVELOPMENT ART EXPLOSION 800000 WIN LICENSE DVD                           ,2657052,4323210200,Graphics or photo imaging software                                              ,NONE  ,,,NOVA DEVELOPMENT                        ,1,No
NOVAMIND 5 PLATINUM SINGLE USER LICENSE                                         ,2650738,4323220100,Content workflow software                                                       ,5,,,NOVAMIND SOFTWARE                       ,1,No
NOVAMIND 5 PRO SINGLE USER LICENSE                                              ,2650734,4323220100,Content workflow software                                                       ,5,,,NOVAMIND SOFTWARE                       ,1,No
NOVAXCHANGE W/CPIO/PLUG FULL VERSION WIN32 CD                                   ,1872498,4323290700,Storage networking software                                                     ,NONE  ,,,NOVASTOR CORP                           ,1,No
NPM SL2000 UP TO 2000 ELEMENTS ANLMNT RNWL                                      ,2657915,4323270100,Application server software                                                     ,NONE  ,,,SOLARWINDS                              ,1,No
NPM SL250 UP TO 250 ELEMENTS ANLMNT RNWL                                        ,2657979,4323270100,Application server software                                                     ,NONE  ,,,SOLARWINDS                              ,1,No
NPM SLX ULTD ELEMENTS ANLMNT RNWL                                               ,2657980,4323270100,Application server software                                                     ,NONE  ,,,SOLARWINDS                              ,1,No
NSTALLSHIELD 2011 PREMIER WITH VIRTUALIZATION PACK                              ,2638339,4323240300,Enterprise application integration software                                     ,2011,,,FLEXERA                                 ,1,No
NT UTILITIES LICENSE UPG TO VERSION 6.X SINGLE USER LICENSE                     ,2596292,4323290100,Access software                                                                 ,NONE  ,,,DAMEWARE DEVELOPMENT LLC                ,1,No
